COUNTY,Main ID,area,lon,lat,pwcr_per_day,PD_E,pv_kw,Annual_elec_demand,total_supplied,utilisation_1,utilisation_2,cost,tier3_hh
Marsabit,572,8200,37.66006627,3.903100781,60961.13337416471,4.900292953634608,9.344428827686906,3210.439858247595,477.9426980675,19.33900172910036,22.218026122157667,5434.42488558078,1.0
Marsabit,573,10000,37.6648941,3.230224035,61204.20379223325,4.918725713775198,8.99096669807214,2953.4970118393003,337.8974704925,18.444115145760588,20.554230655694276,5454.866816576695,1.0
Marsabit,574,10000,37.6648941,3.327286235,56055.99273427155,2.3030951889945017,4.117200391629449,1227.8776510883806,535.4228255403236,16.288028932657774,23.390513830787455,2554.1325645949023,1.0
Marsabit,575,10000,37.6648941,3.424348435,54196.559405759595,2.231069928853059,4.014285015372975,1244.1373663966187,314.98917578625,16.640930256990696,20.854060613446013,2474.2565510980426,1.0
Marsabit,576,10000,37.6648941,3.521410635,59875.822308773815,4.817963486747806,8.887546105096058,2995.905864024725,95.45126406250002,18.270026934643585,18.852120379670886,5343.121506803317,0.0
Marsabit,577,1,37.63769405,3.961351831,58228.49990656358,4.6929143532129185,8.945045630962134,2937.9305097136735,96.02427646749997,18.550629804543966,19.15694462346437,5204.442017713127,0.0
Marsabit,578,10000,37.58083577,2.016946535,66462.13814255173,1.398912737246305,2.5867116349196078,696.1939443631603,388.3774214413802,14.702726902640611,22.904761994784018,1551.3942256061523,1.0
Marsabit,579,10000,37.58083577,2.114008735,67267.47702501758,2.7359379661612717,5.02424640360634,1366.7080564826417,95.45126406250002,14.814510110817304,15.849159544423067,3034.1552044728505,0.0
Marsabit,580,10000,37.58083577,2.211070935,68044.40735346319,2.765851575929231,5.110691721554348,1330.2208210778736,0.0,14.335651644784662,14.335651644784662,3067.3293977055173,0.0
Marsabit,581,10000,37.58083577,2.308133135,70761.42699955877,5.641863197440418,10.599558661982307,2640.068773961618,190.90252812500003,14.080677442311037,15.098846721824252,6256.826285961423,1.0
Marsabit,585,10000,37.58083577,1.919884335,61856.29622606282,1.3068913754075693,2.4351456885219576,597.0876949510348,172.46307843374998,13.403143645891094,17.27451368651753,1449.3425353269943,0.0
Marsabit,586,10000,37.58083577,2.793444135,69424.9321800674,5.5409162938329,10.854037220121326,3448.709262368984,0.0,17.988420922544407,17.988420922544407,6144.876169860687,0.0
Marsabit,587,10000,37.58083577,2.890506335,68073.63350547844,5.438795507368719,10.684218989810876,3676.109885658601,278.4055003575,19.570528227274586,21.052677257865604,6031.62421767191,1.0
Marsabit,588,10000,37.58083577,2.987568535,67311.24961733015,5.3811550290130885,10.373484186480947,3634.9072445840293,95.45126406250002,19.965611750820447,20.48990102456641,5967.700927175515,0.0
Marsabit,589,10000,37.58083577,3.084630735,68518.86124147725,5.4724486947270155,10.21566987834304,3713.634818799706,271.28254114375,20.3599923344227,21.847298094856804,6068.945602452261,1.0
Marsabit,590,10000,37.58083577,2.405195335,65223.150521873846,5.2231864686523375,10.04654668849665,2591.6697650895803,111.35980813374998,15.01425386183263,15.659391777105297,5792.513793735442,0.0
Marsabit,591,10000,37.58083577,2.502257535,66807.20969103655,2.718212043000997,5.301321681110539,1296.1140004695478,5207.152864166781,14.286248705063354,71.68141675032776,3014.4971556881055,14.0
Marsabit,592,10000,37.58083577,2.599319735,68395.89260014571,2.7793814234247427,5.4461538359075,1396.577734529611,111.09901225750001,14.825349233302736,16.004719071063455,3082.33399857804,0.0
Marsabit,593,10000,37.58083577,2.696381935,68841.14788259966,2.796518013574424,5.490960920646507,1621.3821944670742,95.45126406250002,16.88069031306687,17.874461697832473,3101.3384770540365,0.0
Marsabit,594,10000,37.58083577,3.569941735,63214.121845563845,5.071061099635317,9.933929748703546,3352.7159244463287,715.8844643175003,19.098463267234326,23.176438691772976,5623.806759495566,2.0
Marsabit,595,10000,37.58083577,3.667003935,61548.60582542095,4.94483900799813,9.68621816267179,3383.6687627244996,1196.5046106963541,19.79576540883007,26.79577818929415,5483.826459869926,3.0
Marsabit,596,10000,37.58083577,3.764066135,61272.68601640531,4.9239185306044595,9.671953018711593,3315.7527228484932,780.7612610691929,19.54900971390254,24.152220734948838,5460.625650440345,2.0
Marsabit,597,10000,37.58083577,3.861128335,60300.82284018031,4.850208461802143,9.387067585582582,3107.8663445279567,190.90252529625002,18.828066136698084,19.984591216442595,5378.881184138576,1.0
Marsabit,598,10000,37.58083577,3.181692935,66498.33634782865,5.319673660593343,9.716684029021142,3532.0954768620895,360.59366433750006,20.0617749262016,22.109893098867765,5899.518089598017,1.0
Marsabit,599,10000,37.58083577,3.278755135,67675.44208710788,5.40869232403581,9.800235572955549,3427.2874857788015,420.85330274625017,19.088134841051133,21.432059774239715,5998.239787355713,1.0
Marsabit,600,10000,37.58083577,3.375817335,66086.90134096821,5.2885482385127025,9.681022586169831,3171.8366631111417,515.43683478875,17.920920537262646,20.833145704988343,5864.999996510587,1.0
